店舗ID,店舗名
S001,佐賀県_店舗001
S002,秋田県_店舗002
S003,広島県_店舗003
S004,岐阜県_店舗004
S005,佐賀県_店舗005
S006,秋田県_店舗006
S007,滋賀県_店舗007
S008,京都府_店舗008
S009,愛媛県_店舗009
S010,宮崎県_店舗010
S011,山口県_店舗011
S012,静岡県_店舗012
S013,愛知県_店舗013
S014,栃木県_店舗014
S015,佐賀県_店舗015
S016,茨城県_店舗016
S017,徳島県_店舗017
S018,長崎県_店舗018
S019,兵庫県_店舗019
S020,愛媛県_店舗020
S021,栃木県_店舗021
S022,長崎県_店舗022
S023,神奈川県_店舗023
S024,石川県_店舗024
S025,栃木県_店舗025
S026,香川県_店舗026
S027,鳥取県_店舗027
S028,石川県_店舗028
S029,宮城県_店舗029
S030,熊本県_店舗030
S031,神奈川県_店舗031
S032,石川県_店舗032
S033,徳島県_店舗033
S034,静岡県_店舗034
S035,長野県_店舗035
S036,鳥取県_店舗036
S037,東京都_店舗037
S038,高知県_店舗038
S039,神奈川県_店舗039
S040,和歌山県_店舗040
S041,奈良県_店舗041
S042,大阪府_店舗042
S043,群馬県_店舗043
S044,大分県_店舗044
S045,大分県_店舗045
S046,石川県_店舗046
S047,岡山県_店舗047
S048,大阪府_店舗048
S049,青森県_店舗049
S050,埼玉県_店舗050
S051,新潟県_店舗051
S052,神奈川県_店舗052
S053,埼玉県_店舗053
S054,愛知県_店舗054
S055,宮城県_店舗055
S056,高知県_店舗056
S057,北海道_店舗057
S058,三重県_店舗058
S059,埼玉県_店舗059
S060,鹿児島県_店舗060
S061,福岡県_店舗061
S062,山梨県_店舗062
S063,島根県_店舗063
S064,島根県_店舗064
S065,山口県_店舗065
S066,愛媛県_店舗066
S067,沖縄県_店舗067
S068,愛知県_店舗068
S069,静岡県_店舗069
S070,滋賀県_店舗070
S071,広島県_店舗071
S072,岡山県_店舗072
S073,石川県_店舗073
S074,福島県_店舗074
S075,山口県_店舗075
S076,岡山県_店舗076
S077,岩手県_店舗077
S078,佐賀県_店舗078
S079,広島県_店舗079
S080,山梨県_店舗080
S081,岩手県_店舗081
S082,大分県_店舗082
S083,岩手県_店舗083
S084,大分県_店舗084
S085,東京都_店舗085
S086,静岡県_店舗086
S087,青森県_店舗087
S088,広島県_店舗088
S089,山口県_店舗089
S090,新潟県_店舗090
